Keyword,Title,Date,Location,Icon,Link
,FLG Spring Shootout,"Jun 8 - 9, 2019","Uniondale, NY",,Public/Results/Tournament.aspx?IDTournament=h201904210009449088b3acf1e055e44
,CTCBLL,"Jun 3 - Jul 18, 2019","Greenwich, CT",,Public/Results/Tournament.aspx?IDTournament=h201904041748320789dcc75a620844b
,SOMERS SLAM 2019,"Jun 2, 2019","Somers, NY",,Public/Results/Tournament.aspx?IDTournament=h20190117214158570c3a85601e8d648
,Lax by the Sea,"Jun 8 - 9, 2019","New Egypt, NJ",,Public/Results/Tournament.aspx?IDTournament=h201905281931130794f8cec60b39647
,Platypus Festival 2019,"Jun 1 - 2, 2019","Madison, NJ",,Public/Results/Tournament.aspx?IDTournament=h20181107033408720a62419691c884b
,Shore Wars 2019,"Jun 1 - 2, 2019","Berlin, MD • Pittsville, MD",,Public/Results/Tournament.aspx?IDTournament=h201905152132401510d161bfe5b7043
,Adrenaline Platinum Cup,"Jun 8 - 9, 2019","Frederica, DE",,Public/Results/Tournament.aspx?IDTournament=h201905242031572041d21fddc59d747
,The Summer Swell 2019,"Jun 1 - 2, 2019","Frederica, DE",,Public/Results/Tournament.aspx?IDTournament=h20190515150912424e42efa1d3f904d
,2019 Mesa Summer Kickoff,"Jun 2, 2019","Conshohocken, PA • Newtown Square, PA",,Public/Results/Tournament.aspx?IDTournament=h2019051512003064369f1f34d557e42
,2019 Round Up,"Jun 8 - 9, 2019","West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h201905221423517535a2c8975336b42
,All-American 2019,"Jun 8 - 9, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h20190513152904061e83522e9251940
,PAGLA 2019,"Jun 1 - 2, 2019","Downingtown, PA",,Public/Results/Tournament.aspx?IDTournament=h201810031654210205bc350cf7c0d48
,2019 Trilogy Mid-Atlantic Tournament,"Jun 8 - 9, 2019","North East, MD",,Public/Results/Tournament.aspx?IDTournament=h201905250417111439ab8ca09d9164b
,NGLL National Championship 2019,"May 25 - 26, 2019","Brooklandville, MD",,Public/Results/Tournament.aspx?IDTournament=h20190501152255606475b1d64be174e
,2019 Impulse Lax Festival (Youth),"May 31 - Jun 1, 2019","Olney, MD",,Public/Results/Tournament.aspx?IDTournament=h20190102150140934327cd6cbc89f4b
,2019 Impulse Lax Festival (High School),"Jun 2, 2019","Olney, MD",,Public/Results/Tournament.aspx?IDTournament=h201901071932560767aa1dda8acc643
,Cape Fear Clash 7th Annual,"Jun 1 - 2, 2019","Wilmington, NC",,Public/Results/Tournament.aspx?IDTournament=h20190507134814615815f4313758545
,Mid Penn 2019,"Jun 1, 2019","Carlisle, PA",,Public/Results/Tournament.aspx?IDTournament=h201903121524091522dec7d41b26b4d
,GOAT Summer Rumble 2019,"Jun 8 - 9, 2019","Midlothian, VA",,Public/Results/Tournament.aspx?IDTournament=h201905311130097059c3c867ef7674c
,VA State Cup,"Jun 8 - 9, 2019","Charlotteville, VA",,Public/Results/Tournament.aspx?IDTournament=h20190601222957320b651b073859c47
,Bash @ the Beach,"Jun 1 - 2, 2019","Delray Beach, FL",,Public/Results/Tournament.aspx?IDTournament=h201905271709462515113791e07f04a
,Carolina Lacrosse Classic,"Jun 1 - 2, 2019","Chapel Hill, NC",,Public/Results/Tournament.aspx?IDTournament=h201812171701081575009951604924e
,2019 SoFlo Summer Shootout,"Jun 8 - 9, 2019","Boca Raton, FL",,Public/Results/Tournament.aspx?IDTournament=h20190206145413019f0f092578a0a48
,Davie Summer Lacrosse League 2019,"May 28 - Jun 29, 2019","Davie, FL",,Public/Results/Tournament.aspx?IDTournament=h20190516194319175201386f733a74b
,2019 Summer Faceoff,"Jun 1 - 2, 2019","Championsgate, FL • Davenport, FL • Kissimmee, FL",,Public/Results/Tournament.aspx?IDTournament=h201901112054507379a614e10af3545
,Charlotte Lacrosse Invitational - 2019,"Jun 1 - 2, 2019","Matthews, NC",,Public/Results/Tournament.aspx?IDTournament=h20190515203816993f0ab6f28e52e4e
,2019 Big South Summer Classic,"Jun 8 - 9, 2019","Charlotte, NC • Matthews, NC",,Public/Results/Tournament.aspx?IDTournament=h201905031746235592081b9c363ff4b
,South Carolina Shootout 2019,"Jun 1 - 2, 2019","Greer, SC",,Public/Results/Tournament.aspx?IDTournament=h20190516134259029dee32fe3bba64a
,Ohio Cup,"Jun 1 - 2, 2019","Obetz, OH",,Public/Results/Tournament.aspx?IDTournament=h20181119173516038605a2f8ee7574e
,Atlantalax Invitational 2019,"Jun 1 - 2, 2019","Gainesville, GA",,Public/Results/Tournament.aspx?IDTournament=h20190526225845883fc5ba7b9e81942
,2019 MidWest Lax Bash,"Jun 1 - 2, 2019","Oxford, Mi",,Public/Results/Tournament.aspx?IDTournament=h20190412152723248c6f83ba6f4594b
,The SAT-2019,"Jun 1 - 2, 2019","Cumming, GA",,Public/Results/Tournament.aspx?IDTournament=h20190325104311102fca2ec41b7d543
,Summer Jam / Southern Invitational 2019,"Jun 8 - 9, 2019","Kennesaw, GA • Woodstock, GA",,Public/Results/Tournament.aspx?IDTournament=h201906011325498436c1e4b5dcbee41
,2019 Trilogy Atlanta Tournament,"Jun 1 - 2, 2019","Kennesaw, GA",,Public/Results/Tournament.aspx?IDTournament=h20190522201558930f5a12ec9e5c94f
,Beast of the Southeast,"Jun 1 - 2, 2019","Huntsville, AL",,Public/Results/Tournament.aspx?IDTournament=h201905251212060219a2d170c45fe4e
,Top Shelf 2019,"Jun 2, 2019","Oswego, IL",,Public/Results/Tournament.aspx?IDTournament=h201810182005434108968ab66efb24e
,2019 DeForest Norski Lacrosse Annual Invitational,"Jun 9, 2019","DeForest, WI",,Public/Results/Tournament.aspx?IDTournament=h201904041648237817a9f1dcddb6849
,Cooler By the Lake 2019,"Jun 7 - 9, 2019","Duluth, MN",,Public/Results/Tournament.aspx?IDTournament=h2019052820321573539993b42c04b47
,2019 JV/Prep State Tournament,"Jun 1 - 2, 2019","St. Paul, MN",,Public/Results/Tournament.aspx?IDTournament=h20190122173917629355a676da0424e
,2019 MSLax Spring Tourney,"Jun 1 - 2, 2019","Lino Lakes, MN",,Public/Results/Tournament.aspx?IDTournament=h201807171914349925f2567eb5c464e
,2019 Eagan Lacrosse Wildcat Faceoff Tournament,"Jun 1 - 2, 2019","Eagan, MN",,Public/Results/Tournament.aspx?IDTournament=h2019042902391434899fb0afca47445
,The Viking Goat,"Jun 1 - 2, 2019","Farmington, MN",,Public/Results/Tournament.aspx?IDTournament=h201905022322019508f8ef08988844c
,2019 Bait Bucket Battle,"Jun 7 - 9, 2019","Bloomington, MN",,Public/Results/Tournament.aspx?IDTournament=h20181226170702829869c441b559b4f
,2019 Ice Breaker Tournament,"Jun 1 - 2, 2019","Champlin, MN",,Public/Results/Tournament.aspx?IDTournament=h20190318015544872c1a3ae9c915f46
,2019 Boys River Valley Rumble,"Jun 7 - 9, 2019","Shakopee, MN",,Public/Results/Tournament.aspx?IDTournament=h20190108210038659b2f034f27fae46
,Texas Draw 2019,"Jun 8 - 9, 2019","Plano, TX",,Public/Results/Tournament.aspx?IDTournament=h201905301435446274a92d19ba04d43
,Wild Card 2019,"Jun 1 - 2, 2019","Lewisville, TX",,Public/Results/Tournament.aspx?IDTournament=h201905211428217062bae879ecb8240
,2019 Texas Lax Festival II Presented by Bitter Lacrosse,"Jun 1 - 2, 2019","Round Rock, TX",,Public/Results/Tournament.aspx?IDTournament=h20190522030348987fe6cde79cfab44
,Colorado Showdown,"Jun 1 - 2, 2019","United States Air Force Academy, CO",,Public/Results/Tournament.aspx?IDTournament=h20190524142204155c0d60e63d3d744
,Colorado Lacrosse Championships - 2019,"May 25 - 26, 2019","Sadalia, CO",,Public/Results/Tournament.aspx?IDTournament=h2019020618302856977aaebe64af840
,2019 CYLA Championship,"Jun 1 - 2, 2019","Arvada, CO",,Public/Results/Tournament.aspx?IDTournament=h2019051318520834079e9bd731bf142
,Headwaters Classic Jamboree,"Jun 1 - 2, 2019","Bozeman, MT",,Public/Results/Tournament.aspx?IDTournament=h20190425134331926c759e20d22074b
,2019 MYLA Youth State Tournament,"Jun 2 - 9, 2019","Missoula, MT",,Public/Results/Tournament.aspx?IDTournament=h2019042623320134330c48fbdde8947
,2019 Trevor Wingrove Invitational Tournament,"Jun 6 - 9, 2019","Coquitlam, BC",,Public/Results/Tournament.aspx?IDTournament=h20190521223726727fdf2767a37474c
,Harvey Cup 2019,"May 31 - Jun 2, 2019","Snohomish, WA",,Public/Results/Tournament.aspx?IDTournament=h201904071658257459da5b6a6f03b40
,Washington Cup 2019,"May 31 - Jun 2, 2019","Issaquah, WA",,Public/Results/Tournament.aspx?IDTournament=h20190425171041666f7fe2d3188934e
,2019 Foothills Classic,"Jun 8 - 9, 2019","Enumclaw, WA",,Public/Results/Tournament.aspx?IDTournament=h20190514181325837064fa4725dc94b
,Summer Solstice 2019,"Jun 7 - 9, 2019","Tukwila, WA",,Public/Results/Tournament.aspx?IDTournament=h2018052920162457024004ab6d7d842
,Voodoo Classic Lax Tournament 2019,"Jun 1 - 2, 2019","Portland, OR",,Public/Results/Tournament.aspx?IDTournament=h20190519213539813a2bb0ec121004f
,2019 Oregon Spring Classic,"Jun 1 - 2, 2019","Beaverton, OR",,Public/Results/Tournament.aspx?IDTournament=h201905222244331872f47cad16bfb4c
,2019 Battle at the Bridge - Girls,"Jun 1, 2019","Wilsonville, OR",,Public/Results/Tournament.aspx?IDTournament=h2019051618132643700ea39cfd4ab4e
,2019 Battle at the Bridge,"Jun 8, 2019","Wilsonville, OR",,Public/Results/Tournament.aspx?IDTournament=h2019012302254969631fc85cc8e9d46
,2019 HSLL Youth Tournament,"Jun 8 - 9, 2019","Reno, NV",,Public/Results/Tournament.aspx?IDTournament=h2019052905401455114fa4a34c8e045
,2019 SoCal Summer Kickoff,"Jun 8 - 9, 2019","Irvine, CA",,Public/Results/Tournament.aspx?IDTournament=h20190523215835991c8bcfbcb307241
,Battle At Monmouth 2019,"Jun 8 - 9, 2019","Colts Neck, NJ",,Public/Results/Tournament.aspx?IDTournament=h201906041319557271dc0f8e7be9644
,2019 Summer Genesis,"Jun 8 - 9, 2019","Annville, PA • Harrisburg, PA • Palmyra, PA",,Public/Results/Tournament.aspx?IDTournament=h201901081920138592735f6eb451d4d
,IWLCA JUNK Brands Champions Cup,"Jun 14 - 16, 2019","Midlothian, VA • Moseley, VA",,Public/Results/Tournament.aspx?IDTournament=h20190322151455063c698243a81d34e
,Mayhem at the Matt,"Jun 8 - 9, 2019","Cumming, GA",,Public/Results/Tournament.aspx?IDTournament=h20190527144721742356f5ef9a12141
,Summer Lax Splash,"Jun 8 - 9, 2019","Marietta, GA",,Public/Results/Tournament.aspx?IDTournament=h20190602123440969c91c22e20b8f47
,The Denver Shootout 2019,"Jun 14 - 16, 2019","Commerce City, CO",,Public/Results/Tournament.aspx?IDTournament=h2019050815120299401df263092174a
,Colorado Games,"Jun 8 - 9, 2019","Sadalia, CO",,Public/Results/Tournament.aspx?IDTournament=h20190601143756655a1e201c5ae2b42
,Captain Cook PeeWee Tournament,"Jun 14 - 16, 2019","Victoria, BC",,Public/Results/Tournament.aspx?IDTournament=h201905011504058122899a441fe1947
,Cape Cod Invitational,"Jun 22 - 23, 2019","Harwich, MA • South Yarmouth, MA",,Public/Results/Tournament.aspx?IDTournament=h201807311801540270b53dc42824146
,Cape Cod Battle For The Buoy,"Jun 15 - 16, 2019","South Yarmouth, MA",,Public/Results/Tournament.aspx?IDTournament=h2018073118134984276268b41ce9a40
,GIRLS - Cape Cod Invitational,"May 6, 2019","Plymouth, MA",,Public/Results/Tournament.aspx?IDTournament=h201902271533113381665bbbd61e944
,Heart and Hustle,"Jun 15, 2019","Taunton, MA",,Public/Results/Tournament.aspx?IDTournament=h201905222010589443432fddae11242
,Port City Challenge 2019,"Jun 22 - 23, 2019","Portsmouth, NH",,Public/Results/Tournament.aspx?IDTournament=h20190503151707015ed4a3113c80244
,PrimeTime Shootout 2019,"Jun 15 - 16, 2019","Natick, MA • Wellesley, MA",,Public/Results/Tournament.aspx?IDTournament=h201807121700374207a9eda74a6cc40
,Bulldog Brawl 2019,"Jun 22 - 23, 2019","Smithfield, RI",,Public/Results/Tournament.aspx?IDTournament=h20180712170741445b6bba5c97b3743
,2019 Great American Draw,"Jun 22 - 23, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h2019061312371046491d3ba4d610144
,2019 Rockstar Lacrosse Summer Adult League,"Jun 17 - Aug 12, 2019","Stony Brook, NY",,Public/Results/Tournament.aspx?IDTournament=h2019052701324985568a473d9609a44
,2019 LI LaxFest,"Jun 15 - 16, 2019","Farmingdale, NY",,Public/Results/Tournament.aspx?IDTournament=h20190514110058491da57fa974e734a
,14th Annual Battle by the Bay,"Jun 15, 2019","East Norwich, NY • Oyster Bay, NY",,Public/Results/Tournament.aspx?IDTournament=h20181125232424934b1724c9eef0246
,FLG Big X Classic,"Jun 22 - 23, 2019","Brookville, NY",,Public/Results/Tournament.aspx?IDTournament=h20181207202300281c43c6bf7664a4f
,NYLA Boys HS Showcase,"Jun 8, 2019","Garden City, NY",,Public/Results/Tournament.aspx?IDTournament=h201906061413050915cc0bedae7e143
,Long Ireland Lacrosse Tournament,"Jun 15, 2019","Garden City, NY",,Public/Results/Tournament.aspx?IDTournament=h20190611001347617024f7ff281f349
,2019 Westchester War Games,"Jun 22 - 23, 2019","Harrison, NY",,Public/Results/Tournament.aspx?IDTournament=h20190607173630562f14966028edd4b
,United Summer Clash 2019 @ U Albany (Boys HS),"Jun 16, 2019","Albany, NY",,Public/Results/Tournament.aspx?IDTournament=h2019052019372771941fa51ebc0cc40
,LIVE LOVE LAX BOYS,"Jun 15, 2019","New Egypt, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190531124129703a0620341deb342
,2019 IMLCA National Cup,"Jun 14 - 16, 2019","West Windsor Township, NJ • West Windsor, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190605143813215229a56e6d4f547
,2019 Trilogy Rider Tournament,"Jun 22 - 23, 2019","Lawrenceville Township, NJ • West Windsor Township, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190604030809029933b53e3bf634e
,2019 Project 120,"Jun 22 - 23, 2019","Ewing, NJ • Lawrenceville, NJ • West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h20190606125526294df83739f395643
,Beach Blast Lax,"Jun 21 - 23, 2019","Lewes, DE",,Public/Results/Tournament.aspx?IDTournament=h2018083016284761118ca5f988cf242
,2019 Summer Slam - Boys,"Jun 22 - 23, 2019","Kennett Square, PA • Malvern, PA • West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h201906141507261301627bd8f17e342
,Blue Hen 2019,"Jun 15 - 16, 2019","Frederica, DE",,Public/Results/Tournament.aspx?IDTournament=h20190603161520039a460e9cfd36242
,Delaware Invitational 2019,"Jun 19 - 20, 2019","Frederica, DE",,Public/Results/Tournament.aspx?IDTournament=h20190602141158562df085671d8544b
,The Trident 2019,"Jun 22 - 23, 2019","Plymouth Meeting, PA",,Public/Results/Tournament.aspx?IDTournament=h20190514170708116624553a9411144
,Girls Philly Summer Invitational 2019,"Jun 22 - 23, 2019","Conshohocken, PA",,Public/Results/Tournament.aspx?IDTournament=h20190328125702789e81e3e8a6f7c4b
,2019 Haverford Invitational (now named Philly Showdown),"Jun 19 - 20, 2019","Aston, PA",,Public/Results/Tournament.aspx?IDTournament=h2019050111505345396a51adf57df44
,Philly Elite Invitational 2019,"Jun 26 - 27, 2019","Aston, PA",,Public/Results/Tournament.aspx?IDTournament=h2019061417275261672d67b78ee0042
,NORTH AMERICAN LACROSSE - 2019 SUMMER INVITATIONAL,"Jun 15 - 16, 2019","Aston, PA • New Castle, DE",,Public/Results/Tournament.aspx?IDTournament=h20190602144156420a7e369ab6aa243
,2019 Shore Wars Boys Lacrosse Tournament,"Jun 22 - 23, 2019","VIRGINIA BEACH, VA",,Public/Results/Tournament.aspx?IDTournament=h2018122017532560446a3da9bb34f46
,Big 4 Summer Champions League  2019,"Jun 15 - 16, 2019","Center Valley, PA • Pottstown, PA, PA",,Public/Results/Tournament.aspx?IDTournament=h20190531154804619b3e488e5687e44
,Summer Rise 2019,"Jun 15 - 16, 2019","West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h20190522005540631fb769fba9b674d
,Meltdown 2019,"Jun 22 - 23, 2019","Downingtown, PA • West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h20190609112221682b5db790ceaa24b
,PA Invitational 2019,"Jun 15 - 16, 2019","West Bradford Township, PA",,Public/Results/Tournament.aspx?IDTournament=h2019060118563315995bf34d33d314a
,LIVE LOVE LAX GIRLS,"Jun 15 - 16, 2019","Aberdeen, MD • Bel Air, MD • North East, MD",,Public/Results/Tournament.aspx?IDTournament=h201905311229012878e52678929eb4e
,Summer Classic,"Jun 8 - 9, 2019","Aberdeen, MD • bel air, MD",,Public/Results/Tournament.aspx?IDTournament=h2019060513132057897784aa3a7e748
,Crabfeast 2019,"Jun 22 - 23, 2019","Aberdeen, Md • Baltimore, MD • Bel Air, MD • Towson, MD",,Public/Results/Tournament.aspx?IDTournament=h20190503202806878d1b9bb8b5fc64c
,2024 National Championship,"Jun 22 - 23, 2019","Bel Air, MD",,Public/Results/Tournament.aspx?IDTournament=h20190419150807900b177e019383b47
,Baltimore Summer Kickoff Session 1,"Jun 8 - 9, 2019","Baltimore, MD • Towson, MD",,Public/Results/Tournament.aspx?IDTournament=h201906030111197566894c8aafb3444
,Baltimore Summer Kickoff Session 2,"Jun 15 - 16, 2019","Baltimore, MD • Towson, MD",,Public/Results/Tournament.aspx?IDTournament=h20190605123645949f43c9957b60d42
,2019 Trilogy 24,"Jun 27 - 28, 2019","Baltimore, MD",,Public/Results/Tournament.aspx?IDTournament=h20190614052032397c71ae44efbb948
,2019 Lax Amplified,"Jun 15 - 16, 2019","Palmyra, PA",,Public/Results/Tournament.aspx?IDTournament=h201901081921313638786152e124b40
,Maryland Lacrosse Tournament,"Jun 22 - 23, 2019","Owings Mills, MD",,Public/Results/Tournament.aspx?IDTournament=h201906061940438659a496a84c22340
,2019 Trilogy Gettysburg Tournament,"Jun 15 - 16, 2019","Gettysburg, PA",,Public/Results/Tournament.aspx?IDTournament=h20190604030721796512daebd1d5649
,2019 Nova Shootout,"Jun 22 - 23, 2019","Leesburg, VA",,Public/Results/Tournament.aspx?IDTournament=h201905221459597476b798b532ca141
,Sweetlax Summer Showcase 2019,"Jun 21, 2019","Rochester, NY",,Public/Results/Tournament.aspx?IDTournament=h2019061523200958185d08bd76aa84f
,2019 Florida Lacrosse Cup,"Jun 15 - 16, 2019","Delray Beach, FL",,Public/Results/Tournament.aspx?IDTournament=h201902061410194368a3075594ee84f
,2019 Triple Crown Sports Vero Beach Blast Powered By Epoch,"Jun 8 - 9, 2019","Fort Pierce, FL • Vero Beach, FL",,Public/Results/Tournament.aspx?IDTournament=h201906041339356137e5019cccceb40
,2019 Palmetto Lax Classic II Presented by Bitter Lacrosse,"Jun 15 - 16, 2019","Ravenel, SC",,Public/Results/Tournament.aspx?IDTournament=h20190610024033133ad8e5aad751a4d
,2019 Southeast Summer Invitational,"Jun 15 - 16, 2019","Matthews, NC",,Public/Results/Tournament.aspx?IDTournament=h201906011333138244f9469f254db4e
,2019  Lake Norman Summer Lacrosse Classic,"Jun 22 - 23, 2019","Mooresville, NC",,Public/Results/Tournament.aspx?IDTournament=h2018080719583129404dd0f7196c844
,4th Annual Tampa Summer Jam - 2019,"Jun 8 - 9, 2019","Tampa, FL",,Public/Results/Tournament.aspx?IDTournament=h20190601172407580fd57861c96c349
,2019  Asheville Lacrosse Classic,"Jun 15 - 16, 2019","Asheville, NC",,Public/Results/Tournament.aspx?IDTournament=h201808071945166641b1fc209a55f4a
,Cedar Point LAX Classic,"Jun 22 - 23, 2019","Sandusky, OH",,Public/Results/Tournament.aspx?IDTournament=h2019061618133469854b5efa9ff9047
,Clash of the Clubs,"Jun 22 - 23, 2019","Cumming, GA",,Public/Results/Tournament.aspx?IDTournament=h2019061215320542362387d7e11f247
,2019 Southern Open Lacrosse Championships,"Jun 15 - 16, 2019","Peachtree City, GA",,Public/Results/Tournament.aspx?IDTournament=h2019060514223917617d2531323a54f
,Southeast Shootout,"Jun 15 - 16, 2019","Nashville, TN",,Public/Results/Tournament.aspx?IDTournament=h20190604204731850b948d933413d4e
,River City Rivalry,"Jun 15 - 16, 2019","Decatur, AL",,Public/Results/Tournament.aspx?IDTournament=h201906101520284617273750f06c54c
,2019 Windy City Lax Bash,"Jun 22 - 23, 2019","Aurora, IL",,Public/Results/Tournament.aspx?IDTournament=h20190604141103716729b80652bd747
,Big Easy Classic 2019,"Jun 15 - 16, 2019","Mandeville, LA",,Public/Results/Tournament.aspx?IDTournament=h201906070413057630eab399f66a743
,Centennial Summer Sizzle 2019,"Jun 21 - 23, 2019","Circle Pines, MN",,Public/Results/Tournament.aspx?IDTournament=h20190427184024618d8c9ad5c8c9c45
,2019 GNLL Youth State Tournament,"Jun 15 - 16, 2019","Anoka, MN • Maple Grove, MN • St Michael, MN",,Public/Results/Tournament.aspx?IDTournament=h20190122173948446922e9a33447d43
,Boom Town Classic - 2019,"Jun 22 - 23, 2019","Boulder, CO",,Public/Results/Tournament.aspx?IDTournament=h2019061319420394516a406edd6c040
,Vail Lacrosse Tournament 2019,"Jun 17 - 19, 2019","Avon, CO • Edwards, CO • Vail, CO",,Public/Results/Tournament.aspx?IDTournament=h20190421135900376cce898bc94c943
,Mountain Goat,"Jun 15 - 16, 2019","Boise, ID",,Public/Results/Tournament.aspx?IDTournament=h201905232027028492e0f525f3f6840
,2019 Summer Invasion of Valhalla,"Jun 21 - 23, 2019","Vancouver, WA",,Public/Results/Tournament.aspx?IDTournament=h20180926210515592be259e190b2549
,Pacific Lacrosse Festival 2019,"Jun 21 - 23, 2019","Escondido, CA • San Diego, CA",,Public/Results/Tournament.aspx?IDTournament=h2019010822295331356daaec315d949
,2019 Battle of the Bay,"Jun 15 - 16, 2019","San Francisco, CA",,Public/Results/Tournament.aspx?IDTournament=h201905281929174294c17139863b542
,2019 Midwestern War Games,"Jun 22 - 23, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201901081922347771b81eb8643af41
,Xtreme Lacrosse 2019,"Jun 29 - 30, 2019","Groton, MA",,Public/Results/Tournament.aspx?IDTournament=h201906031211555484fa90bf415ea4d
,2019 Legacy Invitational High School,"Jun 27 - 28, 2019","Devens, MA",,Public/Results/Tournament.aspx?IDTournament=h201906051651525302e002ece5cff4b
, 2019 Legacy Invitational Youth ,"Jun 29 - 30, 2019","Devens, MA",,Public/Results/Tournament.aspx?IDTournament=h20190612165448694a01cd237ae6e43
,CT CUP SUMMER 2019,"Jun 22 - 23, 2019","Cheshire, CT",,Public/Results/Tournament.aspx?IDTournament=h201906102018351321228ae08b65d48
,Brawl on the Hill 2019,"Jun 29 - 30, 2019","Simsbury, CT",,Public/Results/Tournament.aspx?IDTournament=h20181109223932849782186fcada144
,2019 Trilogy Constitution Classic,"Jun 29 - 30, 2019","New Haven, CT",,Public/Results/Tournament.aspx?IDTournament=h201906190130191307e367271b11749
,Blatant National Summer Showdown,"Jun 29 - 30, 2019","Garden City, NY",,Public/Results/Tournament.aspx?IDTournament=h20180831164120116308f9247c1564d
,FLG in 3d Mid-Summer Showdown,"Jun 29 - 30, 2019","Brookville, NY",,Public/Results/Tournament.aspx?IDTournament=h2019061221543849014e9738962a146
, Battle At The Beach  2019,"Jun 29, 2019","Brick, NJ",,Public/Results/Tournament.aspx?IDTournament=h201906211456472790651f0f98e9749
,2019 Garden State Shootout,"Jun 29 - 30, 2019","Metuchen, NJ",,Public/Results/Tournament.aspx?IDTournament=h2019061312513448267f10c100ee843
,Lax For The Cure,"Jun 21 - 23, 2019","New Egypt, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190531123533372805428e36cb34f
,Liberty National Elite Classic 2019,"Jun 29 - 30, 2019","Frederica, DE",,Public/Results/Tournament.aspx?IDTournament=h20181219155946225d4da4d58c29b40
,2019 Virginia Beach Invitational ,"Jun 29 - 30, 2019","VIRGINIA BEACH, VA",,Public/Results/Tournament.aspx?IDTournament=h201906122008107424e4dcaf79e5549
,NXT Cup 2019,"Jun 29 - 30, 2019","Downingtown, PA • West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h2019061917404914822cd1395ccb146
,Adrenaline Summer Invitational,"Jun 26 - 27, 2019","West Bradford Township, PA • West Chester, PA",,Public/Results/Tournament.aspx?IDTournament=h20190619183102605e82cfb6ae55a4b
,BAY BRIDGE BRAWL 2019,"Jun 28 - 29, 2019","CENTERVILLE, MD",,Public/Results/Tournament.aspx?IDTournament=h201905142012417852ec8df8829614a
,Millon Events Summer Invitational,"Jun 29 - 30, 2019","Bel Air, MD • Columbia, MD",,Public/Results/Tournament.aspx?IDTournament=h201809131438540565fe0921ee93e4d
,Baltimore Summer Kickoff Session 3,"Jun 20 - 21, 2019","Baltimore, MD",,Public/Results/Tournament.aspx?IDTournament=h2019061210262961067840c63f0ff40
,Laxin Out Loud,"Jun 22 - 23, 2019","Boyds, MD • Olney, MD",,Public/Results/Tournament.aspx?IDTournament=h20190619155724087317e01cac4a744
,KINGS CHALLENGE,"Jun 22 - 23, 2019","Midlothian, VA",,Public/Results/Tournament.aspx?IDTournament=h20190618000546042d7854924c48745
,Capital Classic 2019 presented by MDLX Events,"Jun 29 - 30, 2019","Poolesville, MD",,Public/Results/Tournament.aspx?IDTournament=h20190620154526986c37bb8a8c2e949
,Sweetlax Summer Invitational 2019,"Jun 22 - 23, 2019","Pittsford, NY",,Public/Results/Tournament.aspx?IDTournament=h2019053122120703811017d55386a42
,2019 Carolinas Open ,"Jun 22 - 23, 2019","Lexington, SC",,Public/Results/Tournament.aspx?IDTournament=h2019061711131303591b89f634c1a48
,2019 Florida Summer Classic,"Jun 22 - 23, 2019","Auburndale, FL",,Public/Results/Tournament.aspx?IDTournament=h2019061315272836378ccc65940204e
,2019 Trilogy Buckeye Classic,"Jun 22 - 23, 2019","Mason, OH",,Public/Results/Tournament.aspx?IDTournament=h20190614051958046530a9cfd2f3646
,Georgia 120 Lacrosse Invitational 2019,"Jun 29, 2019","Powder Springs, GA",,Public/Results/Tournament.aspx?IDTournament=h201810151327577010e8fa1970dfb49
,Bardown Showdown 2019,"Jun 22 - 23, 2019","Galesburg, MI",,Public/Results/Tournament.aspx?IDTournament=h201906110200496517b192371366847
,The Grail / MidAmerica Invitational 2019,"Jun 29 - 30, 2019","Westfield, IN",,Public/Results/Tournament.aspx?IDTournament=h2019062218465552112496dd1513840
,Alabama Shootout,"Jun 22 - 23, 2019","Hoover, AL",,Public/Results/Tournament.aspx?IDTournament=h201906052335076750d75bd27154044
, Red Stick Summer League 2019,"Jun 19 - Jul 17, 2019","BATON ROUGE, LA",,Public/Results/Tournament.aspx?IDTournament=h20190619105426223949aec2b4f6148
,Blue Ox 2019,"Jun 22 - 23, 2019","Oak Park Heights, MN • Stillwater, MN",,Public/Results/Tournament.aspx?IDTournament=h201905172042297863748775d942249
,Adrenaline Park City Showdown,"Jun 28 - 29, 2019","Park City, UT",,Public/Results/Tournament.aspx?IDTournament=h20190609145319270d7d31a82582b44
,Fight 4 the Girls Tournament Series: June,"Jun 29 - 30, 2019","Carlsbad, CA",,Public/Results/Tournament.aspx?IDTournament=h2019012420355636031d33b203c7d44
,The Riptide 2019,"Jun 29 - 30, 2019","Irvine, CA",,Public/Results/Tournament.aspx?IDTournament=h201905081424057808dddfdb8310249
,Santa Barbara Summer Showdown 2019,"Jun 29 - 30, 2019","Santa Barbara, CA",,Public/Results/Tournament.aspx?IDTournament=h2019032700275262814826608e6b147
